N,P,K,temperature,humidity,ph,rainfall,crop
90,42,43,20.5,82.0,6.5,202.9,maize
85,58,46,21.5,80.0,6.7,190.1,rice
100,50,40,22.0,83.0,6.6,210.0,grapes
78,39,35,19.5,79.0,6.3,180.5,banana
92,45,48,23.0,85.0,6.8,215.0,cotton
88,41,44,20.0,81.0,6.4,195.0,chickpea
95,47,45,21.0,83.0,6.5,205.0,maize
80,55,42,22.5,82.0,6.7,198.0,rice
105,52,42,23.0,84.0,6.6,212.0,grapes
76,37,33,18.5,77.0,6.2,178.0,banana
96,48,50,24.0,86.0,6.9,218.0,cotton
90,43,46,21.0,82.5,6.5,200.0,coconut
90,80,70,29.1,84.0,6.5,200.0,chickpea
80,70,60,31.0,55.0,7.0,190.0,maize
90,80,70,28.0,85.0,6.0,200.0,cotton
90,80,70,28.0,85.0,6.5,200.0,chickpea
90,80,70,28.0,85.0,7.0,200.0,maize
90,80,70,28.0,85.0,7.5,200.0,watermelon
90,80,70,26.0,65.0,6.0,200.0,rice
90,80,70,26.0,65.0,6.5,200.0,mango
90,80,70,26.0,65.0,7.0,200.0,papaya
90,80,70,26.0,65.0,7.5,200.0,orange
90,80,70,28.0,65.0,6.0,200.0,mango
90,80,70,28.0,65.0,6.5,200.0,chickpea
90,80,70,28.0,65.0,7.0,200.0,orange
90,80,70,28.0,65.0,7.5,200.0,grapes
90,80,70,27.0,65.0,6.0,200.0,coffee
90,80,70,27.0,65.0,6.5,200.0,apple
90,80,70,27.0,65.0,7.0,200.0,mango
90,80,70,27.0,65.0,7.5,200.0,chickpea
100,90,80,28.0,65.0,6.0,200.0,apple
100,90,80,28.0,65.0,6.5,200.0,mango
100,90,80,28.0,65.0,7.0,200.0,watermelon
100,90,80,28.0,65.0,7.0,200.0,orange
100,90,80,26.0,65.0,6.0,200.0,watermelon
100,90,80,26.0,65.0,6.5,200.0,papaya
100,90,80,26.0,65.0,7.0,200.0,grapes
100,90,80,28.0,65.0,6.0,200.0,apple
100,90,80,28.0,65.0,6.5,200.0,coconut
100,90,80,28.0,65.0,7.0,200.0,chickpea
100,90,80,28.0,65.0,7.5,200.0,maize
100,90,80,28.0,85.0,7.5,200.0,mango
100,90,80,28.0,85.0,7.5,200.0,maize
100,90,80,28.0,85.0,7.5,200.0,apple
100,90,80,28.0,85.0,7.5,200.0,papaya
90,80,70,29.2,84.0,6.5,200.0,maize
90,80,70,29.1,58.0,6.5,200.0,rice
90,80,70,31.3,62.0,6.5,200.0,watermelon
90,80,70,24.3,100.0,6.5,200.0,rice
90,80,70,26.1,94.0,6.5,200.0,maize
90,80,70,27.7,50.0,6.5,200.0,rice


